Counties,FIPS,turnout
Appling,13001,61.86
Atkinson,13003,58.03
Bacon,13005,61.02
Baker,13007,55.62
Baldwin,13009,64.28
Banks,13011,58.75
Barrow,13013,53.54
Bartow,13015,54.96
Ben Hill ,13017,56.56
Berrien,13019,57.45
Bibb,13021,57.44
Bleckley,13023,66.11
Brantley,13025,54.22
Brooks,13027,54.82
Bryan,13029,55.27
Bulloch,13031,55.84
Burke,13033,56.8
Butts,13035,55.52
Calhoun,13037,63.22
Camden,13039,51.14
Candler,13043,59.84
Carroll,13045,53.99
Catoosa,13047,56.66
Charlton,13049,53.94
Chatham,13051,52.56
Chattahoochee,13053,32.47
Chattooga,13055,56.49
Cherokee,13057,61.34
Clarke,13059,60.69
Clay ,13061,61.1
Clayton ,13063,51.83
Clinch,13065,55.86
Cobb,13067,62.07
Coffee,13069,54.1
Colquitt,13071,54.85
Columbia,13073,61.87
Cook,13075,58.06
Coweta,13077,61.15
Crawford,13079,62.43
Crisp,13081,58.59
Dade,13083,49.26
Dawson,13085,59.16
Decatur,13087,58.61
DeKalb,13089,61.7
Dodge,13091,64.09
Dooly,13093,64.51
Dougherty,13095,51.41
Douglas,13097,59.63
Early,13099,57.62
Echols,13101,60.41
Effingham,13103,57.62
Elbert,13105,63.35
Emanuel,13107,58.71
Evans,13109,60.16
Fannin,13111,60.55
Fayette,13113,68.08
Floyd,13115,57.1
Forsyth,13117,62.38
Franklin,13119,58.44
Fulton,13121,56.85
Gilmer,13123,61
Glascock,13125,68.08
Glynn,13127,57.17
Gordon,13129,54.04
Grady,13131,59.11
Greene,13133,70.17
Gwinnett,13135,57.28
Habersham,13137,58.9
Hall,13139,55.78
Hancock,13141,61.28
Haralson,13143,55.57
Harris,13145,67.21
Hart,13147,62.33
Heard,13149,56.64
Henry,13151,61.22
Houston,13153,59.77
Irwin,13155,62.54
Jackson,13157,57.56
Jasper,13159,61.27
Jeff Davis,13161,59.99
Jefferson,13163,63.04
Jenkins,13165,59.13
Johnson,13167,66.71
Jones,13169,65.16
Lamar,13171,63.96
Lanier,13173,51.49
Laurens,13175,62.03
Lee,13177,62.44
Liberty,13179,46.5
Lincoln,13181,67.22
Long,13183,48.69
Lowndes,13185,49.47
Lumpkin,13187,56.74
Macon,13189,130.46
Madison,13191,28.29
Marion,13193,91.4
McDuffie,13195,81.47
McIntosh,13197,32.23
Meriwether,13199,60.31
Miller,13201,60.8
Mitchell,13205,57.12
Monroe,13207,66.15
Montgomery,13209,66.25
Morgan,13211,69.25
Murray,13213,54.26
Muscogee,13215,52.64
Newton,13217,58.68
Oconee,13219,73.07
Oglethorpe,13221,64.91
Paulding,13223,57.44
Peach,13225,59.04
Pickens,13227,61.21
Pierce,13229,60.47
Pike,13231,66.7
Polk,13233,58.48
Pulaski,13235,65.83
Putnam,13237,65.16
Quitman,13239,61.66
Rabun,13241,62.85
Randolph,13243,65.99
Richmond,13245,53.79
Rockdale,13247,60.32
Schley,13249,71.19
Screven,13251,59.77
Seminole,13253,59.81
Spalding,13255,56.22
Stephens,13257,53.56
Stewart,13259,59.99
Sumter,13261,62.61
Talbot,13263,66.76
Taliaferro,13265,76.16
Tattnall,13267,57.95
Taylor,13269,65.39
Telfair,13271,62.58
Terrell,13273,60.27
Thomas,13275,60
Tift,13277,58.47
Toombs,13279,57.36
Towns,13281,63.81
Treutlen,13283,63.02
Troup,13285,58.91
Turner,13287,61.03
Twiggs,13289,62.76
Union,13291,67.67
Upson,13293,63.5
Walker,13295,53.6
Walton,13297,59.5
Ware,13299,57.12
Warren,13301,62.17
Washington,13303,66.08
Wayne,13305,60.46
Webster,13307,68.16
Wheeler,13309,63.24
White,13311,59.86
Whitfield,13313,55.4
Wilcox,13315,64.78
Wilkes,13317,64.97
Wilkinson,13319,68.61
Worth,13321,59.13